gene_id,gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,qvalue
ENSG00000159263,SIM2,0.245690960481978,1.68011158232072,1.46569694358788,0.147039585077145,0.999530115671825,-4.41704370481262,0.999530115671825
ENSG00000159267,HLCS,-0.0242453139461203,5.33140054963426,-0.238602082015967,0.812084948174829,0.999530115671825,-5.18171679210352,0.999530115671825
ENSG00000159307,SCUBE1,0.437398483443704,1.79618710580624,0.693327086217463,0.490311875934793,0.999530115671825,-4.78168691681004,0.999530115671825
ENSG00000159314,ARHGAP27,-0.181697595164141,1.01474443774951,-0.921316216831128,0.359930414781354,0.999530115671825,-4.67515717049672,0.999530115671825
ENSG00000159322,ADPGK,-0.00453768197619198,4.9729072184809,-0.0800373260457547,0.936427322955335,0.999530115671825,-5.17198563041774,0.999530115671825
ENSG00000159335,PTMS,-0.0611755266648482,7.59090469948909,-0.76284784880016,0.448020564187594,0.999530115671825,-5.04343446420289,0.999530115671825
ENSG00000159346,ADIPOR1,-0.110157414525266,5.88228937528446,-1.35855006978148,0.178486704379696,0.999530115671825,-4.56872179881846,0.999530115671825
ENSG00000159348,CYB5R1,-0.135576052987248,4.49445833505268,-1.36579505277284,0.176210821898366,0.999530115671825,-4.51353501758509,0.999530115671825
ENSG00000159352,PSMD4,-0.0290038015024621,6.07718123173802,-0.370022690731657,0.712440574502299,0.999530115671825,-5.18858587586221,0.999530115671825
ENSG00000159363,ATP13A2,-0.117654872462192,5.78105849760201,-1.20550921405437,0.231912995447849,0.999530115671825,-4.70202126835307,0.999530115671825
ENSG00000159377,PSMB4,-0.0553302301712693,6.14012266049383,-0.738447982823219,0.462617789292857,0.999530115671825,-5.04222932151885,0.999530115671825
ENSG00000159388,BTG2,-0.16784898553928,6.41642181422224,-1.11336965973506,0.269214682493263,0.999530115671825,-4.79522291553494,0.999530115671825
ENSG00000159399,HK2,0.141088463051938,5.72681947385162,0.611074665840409,0.543054706345076,0.999530115671825,-5.08697192921579,0.999530115671825
ENSG00000159403,C1R,-0.130016995033399,2.07900918347251,-0.382753638599587,0.703018410959353,0.999530115671825,-4.86360865567934,0.999530115671825
ENSG00000159409,CELF3,-0.0191510542578417,5.252508590627,-0.0830708220291872,0.934023364391521,0.999530115671825,-5.18876494896344,0.999530115671825
ENSG00000159423,ALDH4A1,0.158619222066837,3.72726340141847,0.506361592550338,0.614133906832361,0.999530115671825,-4.95683398398034,0.999530115671825
ENSG00000159433,STARD9,0.0638380889026635,6.80984921726805,0.554962682314902,0.580622456707453,0.999530115671825,-5.14146746567476,0.999530115671825
ENSG00000159445,THEM4,0.211855505839528,3.50298097618099,0.96709366178906,0.336701110706734,0.999530115671825,-4.74847755597789,0.999530115671825
ENSG00000159459,UBR1,-0.0442008287901441,6.64921094020205,-0.702196855830264,0.484796940967061,0.999530115671825,-5.07095555323422,0.999530115671825
ENSG00000159461,AMFR,0.0280716325196124,7.12763094274369,0.367156519213624,0.714568081285072,0.999530115671825,-5.20759894388955,0.999530115671825
ENSG00000159479,MED8,-0.072538276603467,4.3312921044912,-0.654248447668014,0.515014623777918,0.999530115671825,-4.96958550067096,0.999530115671825
ENSG00000159496,RGL4,-0.0657376001507779,2.72559251390512,-0.690459898147478,0.492101938665293,0.999530115671825,-4.82508062174277,0.999530115671825
ENSG00000159579,RSPRY1,-0.0528410671203696,6.49704504735732,-1.13092190964872,0.261802244660578,0.999530115671825,-4.7821548272482,0.999530115671825
ENSG00000159588,CCDC17,0.0889751738930933,1.46037808545484,0.703126906507623,0.484220659105139,0.999530115671825,-4.76543417111605,0.999530115671825
ENSG00000159592,GPBP1L1,-0.0463022941647457,6.89756445546948,-0.853315374333619,0.396285148062403,0.999530115671825,-4.98715195922831,0.999530115671825
ENSG00000159593,NAE1,0.0192966051854251,6.15326278593153,0.337191213616485,0.73694360564908,0.999530115671825,-5.19879318005743,0.999530115671825
ENSG00000159596,TMEM69,0.000456917174868288,4.52389589049919,0.00542569461609614,0.995685793268527,0.999530115671825,-5.12998523404482,0.999530115671825
ENSG00000159625,CCDC135,0.511979358362163,0.741647788735207,1.25263424880729,0.214350300493282,0.999530115671825,-4.53733812163615,0.999530115671825
ENSG00000159658,EFCAB14,-0.028082526439217,6.90391669183668,-0.254026805540641,0.800191410474798,0.999530115671825,-5.23245087174376,0.999530115671825
ENSG00000159674,SPON2,0.931353623375092,2.42683035004122,2.58075746410332,0.0118743350121803,0.999530115671825,-3.39887660538587,0.999530115671825
ENSG00000159685,CHCHD6,0.0337341410510952,3.65115952595264,0.427966393906551,0.66993980961513,0.999530115671825,-4.97635919840682,0.999530115671825
ENSG00000159692,CTBP1,-0.0190338351172601,7.16248867881724,-0.432657030705303,0.666543794570917,0.999530115671825,-5.18924826851803,0.999530115671825
ENSG00000159712,ANKRD18CP,-0.00584301773667528,-0.824968319633812,-0.00826242843731555,0.993430225427141,0.999530115671825,-4.72519235479545,0.999530115671825
ENSG00000159713,TPPP3,0.121195586378608,4.07438333674131,0.322028557906945,0.748354545647272,0.999530115671825,-5.04046173856629,0.999530115671825
ENSG00000159714,ZDHHC1,-0.0835212611116249,3.83867681810988,-0.502674549513848,0.616711364453371,0.999530115671825,-4.97270322945593,0.999530115671825
ENSG00000159720,ATP6V0D1,-0.207738214148733,5.3462911288077,-1.43471275232719,0.155653770808803,0.999530115671825,-4.48030457164629,0.999530115671825
ENSG00000159733,ZFYVE28,0.069191870165872,0.646281316521222,0.252053289879494,0.801710556738802,0.999530115671825,-4.79056673981354,0.999530115671825
ENSG00000159753,RLTPR,-0.244946231506992,1.62128651274121,-1.11583721984232,0.268163821265707,0.999530115671825,-4.60939780088985,0.999530115671825
ENSG00000159761,C16orf86,-0.21339001139183,1.69417778473089,-1.82590955868379,0.0719672580887313,0.999530115671825,-4.16737821568186,0.999530115671825
ENSG00000159784,FAM131B,0.0609631443106107,6.29986775518471,0.523241303212863,0.602396409460438,0.999530115671825,-5.14482748419597,0.999530115671825
ENSG00000159788,RGS12,0.0453197736559598,6.36309879099916,0.416387408174974,0.678352393719325,0.999530115671825,-5.18392796965756,0.999530115671825
ENSG00000159792,PSKH1,-0.0940873733363601,5.31915369673253,-0.844835708901874,0.400972285976201,0.999530115671825,-4.94917356420504,0.999530115671825
